Alabama,10258
Alaska,1799
Arizona,3910
Arkansas,11283
California,17820
Colorado,7054
Connecticut,2025
Delaware,539
Florida,14351
Georgia,24605
Hawaii,741
Idaho,6627
Illinois,6645
Indiana,14156
Iowa,14893
Kansas,15873
Kentucky,18196
Louisiana,9685
Maine,2400
Maryland,4555
Massachusetts,3671
Michigan,14161
Minnesota,13522
Mississippi,12155
Missouri,17504
Montana,8275
Nebraska,13907
Nevada,3066
New Hampshire,1519
New Jersey,4533
New Mexico,4919
New York,13068
North Carolina,15560
North Dakota,7950
Ohio,14691
Oklahoma,11457
Oregon,5615
Pennsylvania,11726
Rhode Island,884
South Carolina,6970
South Dakota,9802
Tennessee,14705
Texas,41386
Utah,3838
Vermont,2100
Virginia,20344
Washington,6882
Washington DC,150
West Virginia,8250
Wisconsin,11160
Wyoming,3450
